autor,link,chiste,manitas
xCoNDoR,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/214#6414,"
										- Mi novia me ha dejado, dice que estoy obsesionado con el gimnasio

- VENGA YA? QUE FUERTE!

- Ya, es que hago pesas.									",0
benitogb,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/214#6415,"
										
  Pues yo no le encuentro la gracia.									",0
ramaGZ,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/214#6416,"
										
  Pues mi polla en tu boca se sacia									",0
RoninPiros,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/214#6417,"
										
  son de estos, solo tienen gracia la primera vez que los ves y te sorprende la chorrada...
									",0
Tekitapas,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/214#6418,"
										Qué es blanco negro blanco negro blanco negro rojo? : un pingüino que se ha caído por un acantilado.

Qué es una lechuga con una capa? : Súper Lechuga.

Cómo metes un elefante en una nevera? : Abres la nevera, metes el elefante y la cierras.

Qué es un tomate con una capa? : Un simple tomate imitando a Súper Lechuga.

Cómo metes cinco elefantes en un Seat 600? - Dos delante y tres detrás.

Cómo metes una jirafa en una nevera? : Abres la nevera, sacas el elefante, la metes y cierras.

Qué es blanco negro blanco negro blanco negro verde? : un pingüino que se ha caído por un acantilado pero lo ha salvado Súper Lechuga.

Tu novia quiere entrar al cine pero le dices que si lo hacéis no veréis bien la película ya que hay cinco elefantes dentro y taparán la pantalla. Cómo lo sabes? - El Seat 600 está aparcado en la puerta.

XDDDDDDDDDDDD!!! Problem?									",0
bloodhound,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/214#6419,"
										
  Esa página es oro. X'D									",0
RoninPiros,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/214#6420,"
										
  si pones el de los cocodrilos y el del rey leon te llevas el premio a los chistes sin gracia mas repetidos del mundo									",0
peterstriker,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/40#1171,"
										
  acabo de tener un deja vu con ese chiste, es como si lo hubiese leido 7 POSTS ANTES.

Edit: abro página, yujuu.									",0
psycotiko,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/40#1172,"
										un calvo va por la calle y ve a un jorobado y le dice:

-Que llevas en la mochila?? ( con toda la ironia del mundo)

- Y peine pa ti, cabron!!

XDDDDD

P.D. el chiste del gisante esta uno por pagina.... U_U									",0
Pachinko,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/40#1173,"
										-Mamá, pan

Y la mató.

--------------------------------------------------

Apilar los barriles!

-Y Pilar murió aplastada.

-------------------------------------------------

-Mamá, mamá, no quiero carne en la sopa

-Niño, encima de leproso, caprichoso.									",0
Leu,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/40#1174,"
										
  jajaja los 3 me han gustado xD

que le dice bachir a jilali brunou?
									",0
milgram,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/40#1175,"
										
  cómo??									",0
palickpre,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/40#1176,"
										
  yo tampoco le e encontrado relacion a 
 									",0
ramaGZ,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/41#1201,"
										Ronda de chistes sacados de amigos algo attraped. Atención, only mentes superiores:

¿Que le dice un vector a otro?

Que es un niño complejo?

(Para los linuxeros como yo)

Dos amigos:

- Oye, me haces un bocadillo de tortilla?

- Háztelo tú, ahí tienes los huevos

- Sudo! Hazme un bocadillo de tortilla cojones!
									",0
Pachinko,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/40#1177,"
										
    eh!?

jajajaja, no lo entiendo xD									",0
ChaRuu,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/40#1178,"
										pues ya somos 4 XD									",0
RoMazZzZz,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/40#1179,"
										jajajajaja mi me hace mas gracia el echo de que ninguno tenemos ni puta idea de a que se refiere... jajajaja									",0
Gu3v4r4,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/40#1180,"
										
  no se que es peor, si el chiste que has contado o el hecho de que te han gustado los 3 chistes de mierda del que ha posteado encima tuya.
  lo siento, pero esque esos tipicos chistes que ponen en el suplemento de verano de cualquier periodico de poca monta no me hacen nada de gracia.									",0
Pachinko,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/40#1181,"
										
   ",0
rollervan,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/40#1182,"
										
  has visto el título?									",0
Gu3v4r4,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/40#1183,"
										
  no significa que no pueda decir que son chistes de mierda, no?									",0
piga,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/41#1202,"
										Va un tío a un estanco y compra un paquete de tabaco, y al ver que pone:

- Fumar puede matar

le dice al dependiente, perdona ¿puedes darme el que provoca mal formaciones al feto?									",0
palickpre,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/41#1203,"
										
  dios que putas risas JAJAJAJAA

que diferencia hay de caer de un 1º piso a un 10º piso??

que en el 10º aces

y en el 1º aces
									",0
RoninPiros,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/41#1204,"
										otro chiste ""cientifico""

Estan todos los cientificos antiguos jugando asl escondite en el cielo y salen todos a esconderse menos newton, este tranquilamente dibuja un cuadrado de 1m por 1m y se mete dentro, el que se la quedaba termina de contar, se gira y mirando a newton dice ¡Te pille pascal!

si es muy muy malo

esto esta jesucristo con los apostoles y dice: ""yo os digo hermanos mios que Y=x^2"", y dice uno de los apostoles ""pero que estas diciendo maestro?"" y se gira otro y le dice ""calla idiota no ves que es una parabola""									",0
ZoRy,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/41#1205,"
										Para los informaticos:

Para entender lo que es la recursividad primero hay que entender lo que es la recursividad									",0
LaChilvy,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/41#1206,"
										
  lel

Yo me rei con este.
									",0
Pachinko,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/40#1184,"
										
  Reconoce que el ultimo es bueno xD									",0
TBT,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/40#1185,"
										Esto son 3 y con ",0
moep,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/40#1186,"
										
  JAJAJAJA enorme xDDDDDDDDD Con harrison  Ford.  ""Four"" xD									",0
ChaRuu,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/40#1187,"
										
  ??? no lo entiendo xd esto son 3 y con indiana jones? XDDDDD									",0
Hobbes,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/41#1207,"
										
 

Y el mismo problema tiene la mayoria con traducir library como libreria cuando es biblioteca.									",0
rollervan,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/41#1208,"
										
  pero es que se le llama recursividad, aunque en castellano no exista (que me acabo de enterar).									",0
TBT,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/41#1209,"
										Donald tiene teclado y 

Como te rías con este... I has bad news for j00									",0
japuchi,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/41#1210,"
										
  OMFG que GRANDE el de los payasos, aún me estoy riendo xD.
  el primero no lo pillo...pocas mates aún, sunpongo. Pero anda que el de Jesús...dios mio, que bueno xD.",0
nokel,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/41#1211,"
										Estos son 2 tomates en un frigorífico y le dice uno al otro:

tomate 1 - Jooodeerr que friooo!!!

y dice el tomate 2 -  coooño un tomate que hablaaa!!									",0
Nestor_Cs,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/40#1188,"
										Y CON HARRY SON FOUR xD y con harri son 4 jajajajajajajajajajajajjaa es to weno xDDD									",0
ChaRuu,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/40#1189,"
										AJAJJAAJJAJ vale vale ya lo he cojido XDDDDDD si es weno si AJAJJAJA									",0
oOL4sTOo,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/40#1190,"
										¿Que le dice un Gif a un Jpeg?... - ¡Anímate hombre!									",0
Idontknow,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/40#1191,"
										Esto es una fiesta de derivadas y esta la ""e"" a un lado marginada. Se le acerca la ""x"" y le dice -integrate, hombre!- y la ""e"" le contesta - es  que me quedo igual 
-									",0
LaChilvy,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/40#1192,"
										
  xDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD									",0
garrijedi,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/40#1193,"
										¿Que tienen en común Madeleine McCann y los Reyes Magos?

En que en los dos casos son los padres									",0
SyN0d,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/40#1194,"
										Se abre el telon

Aparece un hombre caminando y de pronto se tropieza y se cae

Se cierra el telon, ¿Como se llama el actor?
									",0
Snorky,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/40#1195,"
										
  y con Jack son 5 
 no uses imageshack

jejejej ejejee ejeje ejje									",0
barrakuda,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/40#1196,"
										
  xDDDD mereces la muerte por semejante acto de gafapastismo xDDD									",0
Oyi,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/41#1212,"
										
  no será que Newton pinta un triángulo??? porque que yo sepa existe el triángulo de Pascal... no el cuadrado de Pascal :S
  vaya puta mierda									",0
RoninPiros,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/41#1213,"
										pascal (medida de presion)

Newton/m^2 (medida de presion)									",0
psycotiko,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/41#1214,"
										se esta volviendo esto una clase de mates...

Hay que contar chistes malos, como el siguiente:

Que es un negro moviendo la lengua de un lado al otro?

Que son 15 negros en una pared blanca?
									",0
Skaler,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/41#1215,"
										Toc Toc

-Quien es?

-Soy yo

Abrio la puerta y era el									",0
locof,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/41#1216,"
										- doctor, doctor, que me quemé

- Que te que te??									",0
Pachinko,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/41#1217,"
										
  Me acabas de amargar el día xD

Qué le dice un inglés a otro?
									",0
ChaRuu,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/41#1218,"
										
  looooool XDDDDDDDDD 									",0
TBT,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/41#1219,"
										Esto va zapatero por la calle y se encuentra a jaimito:

-Anda coño tu eres jaimito el de los cuentos?

-No, el de los cuentos eres tu, yo soy el de los chistes.									",0
TeCagas,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/40#1197,"
										
  por dios xDDDDDDDDDDD									",0
DeMoNSlaYeR,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/40#1198,"
										que es un nazi vivo enterrado en arena asta el cuello?

...

poca arena",0
Idontknow,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/40#1200,"
										
  Pero te ha echo gracia o no? xD									",0
Grilla,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/41#1220,"
										qué es una negra embarazada?

Esto era un niño verde, que vivia en una casa verde, que tenia un arbol verde al lado, el niño se sube al arbol, se cae, vino la cruz roja y se jodió todo.									",0
locof,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/41#1221,"
										Cual es la parte más dura de un vegetal??

Que hace stephen Hopkins tomando el sol?

- cariño, tu que la chupas por amor o por interes?

- yo por amor claro.

- pues empieza a chuparla por interés.

Que hace una niña columpiandose en vietnam?

que es mas gracioso que un niño muerto?

que hace una patera de negros en el fondo del estrecho?

como va irene villa al colegio?

como guiñar y sonreir a la vez a un negro?
									",0
RoninPiros,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/41#1222,"
										jaja el del vegetal muy bueno no me lo esperaba XD									",0
ChaRuu,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/41#1223,"
										joder pues son mas viejos que mi abuelo esos xistes..									",0
maRc,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/41#1224,"
										
 , no pillo el de los payasos x(.

¿Qué se ve desde la torre más alta de Toronto?

Torón, torontontero teró, torón, torontontero teró...									",0
Snorky,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/41#1225,"
										Sí, pero como me he reído con el del vegetal xDDD

Y sí, soy muy hijodeputa por reírme ",0
ChaRuu,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/41#1226,"
										
  eso es de 1monologo XD

lo de los payasos es simple, que hacen en un examen tipo test, TACHAN de tachar, pero diciendo tachaaaaaan como en el circo o en los trucos de magia XD									",0
BuRnS,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/41#1227,"
										Miguel Ángel Blanco time!!!

Esto van Miguel Ángel Blanco y un etarra por un bosque y va oscureciendo, y M.A.Blanco le dice al etarra:

-Oye, esto cuando oscurezca debe dar un poco de miedo.

-Dímelo a mi que me tengo que volver sólo...

La madre de Miguel Ángel Blanco siempre le decía a su hijo: 

- No juegues con etarras, Miguel Ángel, que son peligrosos.

Y le entró por aquí y le salió por aquí (esta frase la dices mientras haces un movimiento con la mano, primero señalando la frente y luego la nuca)

¿Qué le piden las sobrinas de M.A.Blanco a los reyes magos?

No están a la moda y son crueles, pero me hacen gracia  ",0
ChaRuu,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/41#1228,"
										xddd el de no jueges con etarras no me lo sabia los otros si, que basto xd									",0
Idontknow,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/41#1230,"
										Cual es la profesion que nace en Andalucia y muere en el País Vasco?

Si, lo he editado. De lo errores se aprende.									",0
montaN1,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/213#6361,"
										¿Como se llamaría el Gimnasio de Pitbull?

Pitbull feat. Ness									",0
kroaton,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/213#6362,"
										""Esto es Jaimito...""

Y se me quitan las ganas de seguir leyendo el chiste.									",0
ramaGZ,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/213#6363,"
										
  A mi me pasa con los de ""Se abre el telón..."". Alguno se salva, pero el resto me producen indiferencia.									",0
buga,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/213#6364,"
										¿Alguien tiene chistes 
sobre profesores?									",0
Itachi_pi,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/213#6365,"
										
  Un profesor de primer año de Medicina está dando a sus alumnos la primera

lección sobre autopsias en la morgue y les dice:

“Para hacer una autopsia, hay dos elementos básicos: el primero, no tener

ninguna repugnancia.”

En ese momento, el profesor introduce un dedo en el ano del muerto y luego

lo chupa. A continuación pide a los estudiantes que hagan lo mismo y luego

de un rato de silencio temeroso, éstos comienzan a obedecer.

Cuando ya todos los alumnos han terminado de chuparse con asco el dedo, el

profesor prosigue:

“El segundo elemento fundamental, es un sentido muy agudo de observación: yo

metí mi dedo anular, pero me chupé el índice.”									",0
Khrixso,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/213#6366,"
										1-Cariño, tengo dos noticias, una buena y otra mala, he dejado las porros, pero no sé donde. 

2-Un niño de tres años observaba sus pelotas mientras su madre le baña.

HIJO:  Mami,¿Es este mi cerebro?

MADRE: Todavía no hijo,todavia no.
  Ya lo se, gracias ",0
PUTO_JEFE,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/213#6367,"
										
  Cuentas los chistes de vicio.									",0
ramaGZ,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/213#6368,"
										- ¿Qué queremos?

- ¡Una cura para la sordera!

- ¿Y cuándo la queremos?

- ¡UNA CURA PARA LA SORDERA!									",0
Hatex,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/212#6331,"
										
  ""Asegúrese de que de verdad esta muerto...""									",0
benitogb,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/212#6332,"
										El profesor repartiendo las notas:

Luisito un diez.

Pedrito un ocho.

Juanito un seis.

Jaimito un cero.

Oiga profesor, ¿Y por qué a mí un cero?

Porque has copiado el examen de Pedrito.

¿Y usted cómo lo sabe?

Porque las cuatro primeras preguntas, están iguales, y en la última pregunta Pedrito respondió: ""Esa, no me la sé"" y tu has puesto: ""Yo tampoco"".

____________________________________________

Llega un tipo bien borracho a las 3:00 de la madrugada a su casa, mete la llave despacito sin hacer ruido para no despertar a su mujer.

Pero la mujer lo estaba esperando sentada en el sillón del living, cuando abrió la puerta esta le encendió la luz.

El borrachín al verse descubierto le dice:

Borrachín: Que.

Esposa: Que de que.

Borrachín: Que de que o que.

Esposa: Que de que o que de que.

Borrachín: Que de que o que de que o que.

Esposa: Que de que o que de que o que por que.

Borrachín: Que de que o que de que o que por que pero que.

Esposa: Que ¿Donde andabas?

Borrachín: No, no, no.... no me cambiés la conversación.

______________________________________________

jaimito como siempre, esta un edificio quemandose y sale jaimito y dice tirense q yo los agarro y en eso se tira un negro y jaimito lo deja caer y dice sean serios no tiren los q estan quemados..!									",0
Fraynetto,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/213#6369,"
										
  
									",0
castorcillo,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/213#6370,"
										
  ",0
PUTO_JEFE,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/213#6371,"
										- ¿Qué queremos?

- ¡Contar chistes de pizzas y putas !

- ¿Y cuándo lo queremos ?

- 

-Doctor, doctor, tengo un testículo de hierro y otro de madera.

- ¿Y usted tiene hijos? 

-Sí, Robocop y Pinocho.									",0
ramaGZ,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/213#6372,"
										
 ",0
benitogb,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/213#6373,"
										
  Que hambre de pizza tengo coño.

PD: Y de coño tambien.									",0
Eustakiooo,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/213#6374,"
										
  Si tienes hambre de pizza, y tienes coño, eres una de las putas del chiste? (además bollera)									",0
benitogb,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/213#6375,"
										
  No tengo coño pero si tuviera me partiria la espalda pa comermelo									",0
txikitin9,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/213#6376,"
										
  (ademas pizzera)  ",0
xeve,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/213#6377,"
										que es una orilla? 

- sesenta minutillos

que tipo de sueños tienen los elefantes?

- pesadillas

que es un lapzo?

- una copsa que se pone en la cabepza  

toma chistes malos buahahahha									",0
guitex96,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/212#6333,"
										esto es un vasco que va a comprar una motosierra, va a una tienda y dice  dame la mejor motosierra que tenga , el dependiente le dice con esta tardas 1 hora en cortar 200 arboles , con esta otra 1 hora 300 arboles ,y con esta ultima , la mejor , recien llegada de alemania , puedes cortar en 1 hora mas de 400 arboles. 

el vasco se compra la ultima , no satisfecho vuelve a la tienda y dice : usted me ha timado , esta motosierra no corta esa cantidad de arboles , porque solamente he cortado 200 en 1 hora , el dependiente le dice que el martes van a probarla juntos y se lo demuestra

llega el martes, saca la moto sierra enciende el motor y el vasco dice : 

coño que es ese ruido!									",0
RaCe,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/212#6334,"
										¿Cuales son los dibujos animados favoritos del capitán del Costa Concordia?

Timón y Pumba.									",0
buga,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/212#6335,"
										- Feliz San Fermín cariño

- San Fermín?

- Si cariño, tenemos que hablar..									",0
benitogb,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/212#6336,"
										",0
PUTO_JEFE,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/212#6337,"
										—Mayordomo! 

—Sí señor. 

—Tráigame la infusión de todas las tardes. 

—Té, amo. 

—Basta ya de fingir, yo también!! Béseme canalla!!
  No sé, me lo escribió un colega, y me he reído un rato. xD									",0
SrEnigma,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/212#6338,"
										Un rancho. Muchos caballos. Aparece un gitano. Desaparecen los caballos. ¿Cómo se llama la película?
									",0
Gu3v4r4,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/212#6339,"
										
  eso es de los carnavales de cadiz verdad? xDD									",0
KanE_77,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/212#6340,"
										
  Eso es un chiste? si la Giralda la construyeron los musulmanes, es un chiste contra la inteligencia/cultura andaluza?									",0
benitogb,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/212#6341,"
										
  lo dices en serio?									",0
fraJiscow,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/212#6342,"
										
  El rage vs Andalucía a veces les lleva a decir tales estupideces, no sé de qué te sorprendes.

Hay varios individuos sueltos por el foro.									",0
Darkveider,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/213#6378,"
										
  el de los elefantes tiene algun sentido?

Es que no lo pillo  

Un elefante pesa, pues pesa-dillas, es que esto no se considera ni malo XD XD									",0
bloodhound,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/213#6379,"
										

Como veréis Pizzas+Putas = Felicidad.									",0
Grilla,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/213#6380,"
										Esta es una casa que era verde, con un jardin verde y un árbol verde, un niño verde se sube al árbol verde, se cae del árbol, vino la cruz roja y lo estropeó todo

Creo que con esto me retiro hasta nuevo aviso									",0
PUTO_JEFE,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/213#6381,"
										
  Haces bien.									",0
Arutha,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/213#6382,"
										A que huele el dedo de Popeye?
									",0
frandqt,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/213#6383,"
										
  xdddddddddddddddddddddd									",0
txikitin9,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/213#6384,"
										- hola, la casa de los niños huerfanos?

- siiii..

- esta tu mama o tu papa por ahi??									",0
benitogb,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/213#6385,"
										Lepero lee en un periódico:

 ""Alud mata a 100 personas"".

 El tipo comenta en voz baja: 

- Qué hijo de puta el Alud ...

_____________________________

Una vieja, en la mitad de un servicio religioso, se inclina y le dice al oído al esposo: 

- Me acabo de tirar un pedito silencioso... Qué hago?..

 Y el marido le responde:

- Ahora nada, pero cuando llegues a casa, cámbiale las pilas al sonotone. 

_____________________________

Una novia envía un mensaje por teléfono móvil a su novio, con el siguiente texto:

-Si estás durmiendo, mándame tus sueños. 

-Si estás riendo, mándame tu sonrisa.

-Si estás llorando, mándame tus lágrimas. 

¡¡¡ TE AMO !!!

 El novio le responde: 

-Estoy cagando... ¿Qué hago? 

PD: Perdon, no me di cuenta de editar.									",0
denon,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/213#6388,"
										
  vaya! tenemos triplepost de un caballero! te disparaba con una ak por spamer! 
  te lo puse con cariño ^^ amo este foro y que haya buen rollo, ya sabes como Jesse picman, buen rollo tio jeje									",0
benitogb,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/213#6389,"
										
  juer es que estaba gracioso y digo ala voy a poner chistes a punta pala pa q se ria/llore la peña jeje.

No me di cuenta BAN para mi, chocopunto me lo merezco									",0
0nLy,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/212#6343,"
										-Cariño, tengo un problema. 

-No cari, dirás ""tenemos un problema."" 

-Ah Bueno, vale... ¡Vamos a tener un hijo con mi Secretaria!									",0
0nLy,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/212#6344,"
										-¿Sales Minerales? 

-Minerales: No, estoy castigada									",0
PUTO_JEFE,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/212#6345,"
										¿Por qué Sheraph es Rock Lee ?

Porque Sylvester es talón.
									",0
Oviw,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/212#6346,"
										Cuál es el dulce preferido de los miembros de la O.N.C.E?

j3j3									",0
fuNN,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/212#6347,"
										
  hahahaha me lo imagino y es aún mejor +1									",0
benitogb,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/212#6348,"
										El cateto que se compra un movil de ultima generacion. 20 megapixel de camara. Y se va al campo a hechar fotos.

Foto al perro, foto a la vaca, foto al caballo, foto al chivo, foto al pollo.

Y de repente le sale un mensaje que pone: Memoria llena. Borrar archivo.

Y dice el cateto: ji hombre ar chivo voy a borrar que e er que mejón a salio.									",0
kanalizador,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/212#6349,"
										
  
 es una errata o es para enfatizar al cateto??									",0
benitogb,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/212#6350,"
										
  Joder me habeis pillado. El cateto era yo.									",0
bloodhound,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/213#6390,"
										
  Hay un botón que se llama Editar.
  
   ",0
denon,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/212#6351,"
										En una farola de una calle de Lepe hay un anuncio que dice:

- Urgentenecesitotécnicoespecialistaenhardwareparaarreglarbarraespaciadora									",0
guitex96,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/212#6352,"
										que le dice un coño a otro :

-dicen por ahi que ya no te complacen

+bah! malas lenguas									",0
Hatex,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/212#6353,"
										
  El laismo si que es un chiste									",0
guitex96,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/212#6354,"
										
  soy de madrid  , ademas ha sido sin querer.									",0
Eveyx,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/212#6355,"
										El otro día me puse a hablar con una zapatilla porque ponía 

Ya me voy.									",0
elo4000,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/212#6356,"
										¿En qué se parece un barco, un ladrón y una familia?
									",0
denon,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/212#6357,"
										
  se lo cuentas a un huérfano y triunfas									",0
txikitin9,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/212#6358,"
										
  seria mejor un ladron, un barco y unos padres, aunque seria un win en toda regla jajajja									",0
Sinonimo,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/212#6359,"
										
  en el telepizza?									",0
RoninPiros,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/212#6360,"
										
  Eres un temerario :/									",0
Oyi,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/42#1231,"
										
  sabes que sirve para no ser un cateto de la polla??
 no uses imageshack									",0
Idontknow,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/42#1232,"
										Que eres guardia civil?

No pongas fotos tuyas para que yo sea como tu.
  En catalan es Pais Basc de aqui mi fallo, perdone usted.
  Esperaba un flameo mas decente. Dejo la discusion que el post esta para otra cosas.									",0
exon1,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/42#1233,"
										basco win!									",0
Oyi,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/42#1234,"
										No soy guardia civil y menos mal, de todas formas sabes que tengo razón cateto xD									",0
RoninPiros,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/42#1235,"
										Vandhell se esta intentando suicidar aunque no se porque...									",0
LaChilvy,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/42#1236,"
										- ¿Por qué los programadores son tan malos amantes?

- Porque siempre intentan encontrar la forma de hacer la tarea lo más rápido posible, y cuando lo consiguen están convencidos de que han mejorado.
  j3j3j3j33j3j3									",0
Deoxys,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/42#1237,"
										
  jajajajaja... jaja... ja... ",0
anikex,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/42#1238,"
										
  xDDDDDDDDDDD dando donde duele									",0
